engine,dataset,concurrency,warmup_requests,successful_requests,failed_requests,request_throughput_rps,output_tokens_per_second,ttft_p50_s,ttft_p95_s,ttft_p99_s,e2e_p50_s,e2e_p95_s,e2e_p99_s,path
sglang,chat_trace,1,4,96,0,0.30569233541225826,49.37897584250219,0.042225318029522896,0.04259507730603218,0.043260805681347846,3.525236066430807,4.051911600865424,4.054001747258008,results/qwen-baseline-engine-comparison/sglang/qwen25-7b-instruct/chat_trace/c1/summary.json
vllm,chat_trace,1,4,96,0,0.3063643823477172,49.21625703729606,0.025956589728593826,0.02652217634022236,0.02699137181043625,3.5430424958467484,4.066951378248632,4.074144060723484,results/qwen-baseline-engine-comparison/vllm/qwen25-7b-instruct/chat_trace/c1/summary.json
sglang,chat_trace,4,4,192,0,1.2031077321357337,183.72438259412635,0.061288489028811455,0.062217426300048825,0.2531988213211298,3.4057080056518316,4.228979260101914,4.253058203086257,results/qwen-baseline-engine-comparison/sglang/qwen25-7b-instruct/chat_trace/c4/summary.json
vllm,chat_trace,4,4,192,0,1.2180999003050597,186.1599238263092,0.04097309894859791,0.042220359668135636,0.05614260751754046,3.362082963809371,4.185302161052823,4.1937070126459,results/qwen-baseline-engine-comparison/vllm/qwen25-7b-instruct/chat_trace/c4/summary.json
sglang,prefix_heavy,1,4,96,0,0.3186536852828432,48.93975537542495,0.04247324727475643,0.043146027252078056,0.04449271894991394,3.258849123492837,3.6537231663241982,3.6754863146692514,results/qwen-baseline-engine-comparison/sglang/qwen25-7b-instruct/prefix_heavy/c1/summary.json
vllm,prefix_heavy,1,4,96,0,0.31579805018796664,48.36631703662884,0.026967370882630348,0.02777704130858183,0.029166069254279108,3.2969743367284536,3.7000263296067715,3.724851667508483,results/qwen-baseline-engine-comparison/vllm/qwen25-7b-instruct/prefix_heavy/c1/summary.json
sglang,prefix_heavy,4,4,192,0,1.1977977213642537,181.8968133427997,0.06150665879249573,0.062087899260222915,0.08303099397569895,3.4073967523872852,3.7863485854119063,3.8238296560570597,results/qwen-baseline-engine-comparison/sglang/qwen25-7b-instruct/prefix_heavy/c4/summary.json
vllm,prefix_heavy,4,4,192,0,1.1884164301131908,179.26519087988663,0.04190014861524105,0.04268103837966919,0.056760191693902014,3.401730904355645,3.8261661052703855,3.8437810434028505,results/qwen-baseline-engine-comparison/vllm/qwen25-7b-instruct/prefix_heavy/c4/summary.json
